ï»¿,created at,from user,text
0,4/2/2023 18:35,murianewscom,"#timnasindonesia #lebanon #seagames2023 #ujicoba 

Timnas Indonesia U-22 Ujicoba Vs Lebanon

https://t.co/2uBr7rOHnv"
1,4/2/2023 17:30,ThePhraseID,"Para pemain Timnas Indonesia mengaku masih ingin berkuliah, menjadi TNI, polisi, dan lain-lain saat ditanya Presiden RI Joko Widodo.
#ThePhraseID #Jokowi #JokoWidodo #presidenjokowi #TimnasU20 #timnasindonesia #PialaDuniaU20 @jokowi @PSSI 
https://t.co/72uIu2fzR9"
2,4/2/2023 16:30,ThePhraseID,"Timnas Indonesia U-20 secara resmi dibubarkan setelah Indonesia batal selenggarakan Piala Dunia U-20 2023 sebagai tuan rumah.
#ThePhraseID #TimnasU20 #timnasindonesia #Indonesia #PialaDuniaU20 #shintaeyong #PSSI @PSSI 
https://t.co/tBInREqGa1"
3,4/2/2023 15:00,ThePhraseID,Presiden Joko Widodo memberikan semangat kepada Timnas Indonesia U-20. Pria asal Solo itu mengatakan bahwa jalan Garuda Nusantara masih sangat panjang #ThePhraseID #TimnasU20 #TimnasIndonesia #JokoWidodo  https://t.co/mKz0nuRvpk
4,4/2/2023 14:54,kecambah_kacang,"Timnas Sepakbola Putri Indonesia bersiap hadapi laga di Kualifikasi #olipiadeparis2024 
https://t.co/PWpXqb3Y3p
#AustralianGP #timnasday #TimnasU20 #timnasindonesia #JoshuaFranklin #BBTitans #SUGA_AgustD_TOUR #PSSI"
5,4/2/2023 14:17,IkramMalvin,"#PialaDuniaU20
#StandarGanda
#FIFA
#PSSI
#U20
#SepakBolaIndonesia
#TimnasIndonesia
#KecamFIFA https://t.co/o3rBLP3OzS"
6,4/2/2023 14:00,ThePhraseID,"Pelatih Timnas Indonesia U-22, Indra Sjafri memanggil 36 pemain. Arsitek asal Pesisir Selatan, Sumatera Barat itu tengah mempersiapkan untuk SEA Games 2023 Kamboja #ThePhraseID #TimnasIndonesia #SEAGames2023 #Kamboja
https://t.co/TurTbIYpWS"
7,4/2/2023 13:36,fajaronline,"Jelang Kualifikasi Olimpiade Paris 2024, Timnas Wanita Indonesia Kembali Lakukan Pemusatan Latihan https://t.co/hwgeBH4BWI #OlimpiadeParis2024 #TimnasIndonesia"
8,4/2/2023 12:55,wansebats,"Moh Salah mendukung tindakan Indonesia

#PialaDuniaU20 #StandarGanda #FIFA #PSSI #U20 #SepakBolaIndonesia #TimnasIndonesia #KecamFIFA https://t.co/YiyJAJLgGc"
9,4/2/2023 12:55,wansebats,"No Drama, kita masih menjadi terhormat

#PialaDuniaU20 #StandarGanda #FIFA #PSSI #U20 #SepakBolaIndonesia #TimnasIndonesia #KecamFIFA https://t.co/TEFpaGtHc8"
