text,label,Tweet
"Abdul Muâ€™ti: This Nation Should Remain to Unite and PSSI Should Reform after FIFA Strips Indonesia as Host of the U-20 World Cup

https://t.co/wBGCLla201

#Muhammadiyah #FIFA #U20worldcup #PSSI",0,abdul mu ti this nation should remain to unite and pssi should reform after fifa strips indonesia as host of the u world cup https t co wbgclla muhammadiyah fifa uworldcup pssi
"Berpengalaman Hadapi Krisis, Erick Thohir Mampu Selamatkan Sepak Bola Indonesia #PSSI https://t.co/LTew9F4jHU",0,alam hadap krisis erick thohir selamat sepak bola indonesia pssi https t co ltewfjhu
"Ambisi Shin Tae-yong Bawa Timnas Indonesia Tembus Piala Dunia 2026, Sandy Walsh: Itu Target Utama
 
https://t.co/dZY1cDW5od lewat @tribunkaltim 

#ShinTaeyong #TimnasIndonesia #PialaDunia #SandyWalsh #beritabolaterbaru",0,ambisi shin tae-yong bawa timnas indonesia tembus piala dunia sandy walsh target utama https t co dzycdwod shintaeyong timnasindonesia pialadunia sandywalsh beritabolaterbaru
"Argumen yang VALID!!

#FIFA #pialaduniau20 #PialaDuniaU20Indonesia #sepakbola #Palestina #PSSI https://t.co/Guq8IQ5Ix7",0,argumen valid fifa pialaduniau pialaduniauindonesia sepakbola palestina pssi https t co guqiqix
Asisten Pelatih Timnas Indonesia Yoo Jae Hoon kembali turut andil mengharumkan nama Indonesia setelah keberhasilan pasukan Garuda menjadi runner up Piala AFF 2020 #PialaAFF2020 https://t.co/XwIXjb9XJj,0,asisten latih timnas indonesia yoo jae hoon andil harum nama indonesia hasil pasu garuda runner up piala aff pialaaff https t co xwixjbxjj
"Peraturan Menteri Melarang Kehadiran Israel di Indonesia.

Terkendala konstitusi

Dalam Peraturan Menlu No. 3 Tahun 2019 pasal 150 dan 151 disebutkan dgn jelas, Indonesia menentang penjajahan Israel atas Palestina.

ini fakta yg diabaikan oleh PSSI

#FIFA23 #FIFA #PSSI #U20 https://t.co/IdpCvZflSR",2,atur menteri larang hadir israel indonesia kendala konstitusi atur menlu no pasal dgn indonesia tentang jajah israel palestina fakta yg abai pssi fifa fifa pssi u https t co idpcvzflsr
"Ayoo paak.. 
Lakukan apa yang bapak lakukan di #BUMN 
Kita rindu sepakbola yang sehat dan berprestasi.. 

#SepakbolaIndonesia #TimnasIndonesia #ErickThohir #PSSI https://t.co/mCvoYggoZ4",0,ayoo paak laku laku bumn rindu sepakbola sehat prestasi sepakbolaindonesia timnasindonesia erickthohir pssi https t co mcvoyggoz
"BADUT JOKER BARIS 4 CUAN SIANG HARI

Menang banyak panen banyak duit uhui selamat bos bisa buat lebaran jangan lupa bagi - bagi THR ke saudara ðŸ˜ŠðŸ™ðŸ»

âš¡ï¸BONUS DEPO 50% DAN 25 RB DI DEPANâš¡ï¸
âš¡ï¸KAOS GRATIS DARI KDSLOTSâš¡ï¸

#pragmaticplay #timnasindonesia #u20 #pialaduniau20 #viral https://t.co/17mO7zEIED",1,badut joker baris cuan siang menang panen duit uhu selamat bos lebaran lupa thr saudara bonus depo rb depan kaos gratis kdslots pragmaticplay timnasindonesia u pialaduniau viral https t co mozeied
"Balas Kebaikan Klub Luar Negeri, Shin Tae-yong Nggak Panggil Egy Maulana Cs di Piala AFF U-23

Baca Selengkapnya Disini!
https://t.co/AKhRdzkHNm

#MataIndonesia #TImnas #Shintaeyong #EgyMaulana #PialaAFF2020",0,balas baik klub negeri shin tae-yong nggak panggil egy maulana cs piala aff u baca lengkap https t co akhrdzkhnm mataindonesia timnas shintaeyong egymaulana pialaaff
"Dibalik Kesuksesan Pratama Arhan Pernah Kesulitan Membeli Sepatu Bola, Ibu: Sampai Jual Beras

#pratamaarhan 
#TimnasIndonesia 
#PialaAFF2020 

https://t.co/h1hjfSISGQ",0,balik sukses pratama arhan sulit beli sepatu bola jual beras pratamaarhan timnasindonesia pialaaff https t co hhjfsisgq
