ï»¿,created at,from user,text
0,2023-04-02 14:38:59+00:00,infoahlulbait,#TolakTimIsrael #TolakU20Israel #TolakTimnasIsrael #Indonesia #Menpora #Menlu #PSSI #PialaDuniaU20 #Ahlulbayt #Ahlulbait #AhlulbaitIndonesia #PanduAhlulbait
1,2023-04-02 13:19:09+00:00,dpwpkbjabar,"Wilujeng Milangkala Pak Sekretaris Jendral DPP PKB @EmHasanuddin ðŸ‡²ðŸ‡¨ðŸ‡²ðŸ‡¨ðŸ‡²ðŸ‡¨ðŸ‡²ðŸ‡¨

#pssi #gusmuhaimin #cakimin #emhasanuddin #syaifulhuda #komisix #pialaduniau20 #israel #palestine #muhaiminiskandar #pkb 

@dpp_pkb @cakiminow @emhasanuddin @syaifulhooda @ajam_acep_jamaludin https://t.co/rCzGtNnYq9"
2,2023-04-02 13:12:10+00:00,netizenmu,"RT muhammadiyah ""Abdul Muâ€™ti: This Nation Should Remain to Unite and PSSI Should Reform after FIFA Strips Indonesia as Host of the U-20 World Cup

https://t.co/4ofShCM8S5

#Muhammadiyah #FIFA #U20worldcup #PSSI"""
3,2023-04-02 13:01:16+00:00,mzaenury11,"Karena Indonesia batal menjadi Tuan Rumah, Timnas U-20 dibubarkan.
#ArgentinaGP 
#Timnasu20
#PSSI 

https://t.co/xnoiKMKQCQ"
4,2023-04-02 13:00:02+00:00,muhammadiyah,"Abdul Muâ€™ti: This Nation Should Remain to Unite and PSSI Should Reform after FIFA Strips Indonesia as Host of the U-20 World Cup

https://t.co/wBGCLla201

#Muhammadiyah #FIFA #U20worldcup #PSSI"
5,2023-04-02 12:50:12+00:00,cahsatset,"Wes tau tak jagakne  jebul e blenjani. Iki kudu piye? 
#PSSI #WrestleMania #skijumpingfamily"
6,2023-04-02 12:25:24+00:00,netizulbudiman,"Begitu banyak kerugian yang harus ditanggung. Tapi apakah yang merusak ini semua mau tanggung jawab????

#timnas #timnasu20 #fifa #pssi #pialaduniau20 #u20 #erickthohir #pildun #sepakbola https://t.co/tzSYudzrCs"
7,2023-04-02 12:23:03+00:00,jpnncom,"Berpengalaman Hadapi Krisis, Erick Thohir Mampu Selamatkan Sepak Bola Indonesia #PSSI https://t.co/LTew9F4jHU"
8,2023-04-02 12:16:40+00:00,SimsonCipto,"Semenjak kepemimpinan @erickthohir BUMN kacau apalagi @pertamina dan @PSSI batal jadi tuan rumah piala dunia.Itu penyebab nya terlalu banyak jabatan jadi tidak fokus.
#Pertamina #PSSI #Dumai #pialaduniau20harussukses"
9,2023-04-02 12:16:15+00:00,montureng,"memang ini lebih besar dari sekedar penyelenggaraan piala dunia, tapi tentang masa depan adik2 #garudamuda

Semoga masih banyak lagi kesempatan buat kalian untuk membanggakan bangsa ðŸ’”ðŸ’”

#timnas #timnasu20 #fifa #pssi #pialaduniau20 #u20 #erickthohir #pildun #sepakbola https://t.co/A6lxpdAljT"
